title,Franchise,US release Date,Duration(min),IMDB rating,metascore,Budget,Domestic Gross,Total Gross,Opening Gross,Oscar Nomination,Oscar won,Phase,name,role,Genre
Iron Man,Iron Man,2008-05-02,126,7.9,79,140000000,318604126,585366247,98618668,2,0,1,Jon Favreau,Director,Action
Iron Man,Iron Man,2008-05-02,126,7.9,79,140000000,318604126,585366247,98618668,2,0,1,Avi Arad,Producer,Adventure
Iron Man,Iron Man,2008-05-02,126,7.9,79,140000000,318604126,585366247,98618668,2,0,1,Kevin Feige,Producer,Sci-Fi
Iron Man,Iron Man,2008-05-02,126,7.9,79,140000000,318604126,585366247,98618668,2,0,1,Robert Downey Jr. ,Cast,
Iron Man,Iron Man,2008-05-02,126,7.9,79,140000000,318604126,585366247,98618668,2,0,1,Gweneth Paltrow ,Cast,
Iron Man,Iron Man,2008-05-02,126,7.9,79,140000000,318604126,585366247,98618668,2,0,1,Terrence Howard,Cast,
The Incredible Hulk,The Hulk,2008-06-13,112,6.6,61,150000000,134806913,264770996,55414050,0,0,1,Louis Leterrier,Director,Action
The Incredible Hulk,The Hulk,2008-06-13,112,6.6,61,150000000,134806913,264770996,55414050,0,0,1,Avi Arad,Producer,Adventure
The Incredible Hulk,The Hulk,2008-06-13,112,6.6,61,150000000,134806913,264770996,55414050,0,0,1,Gale Ann Hurd,Producer,Sci-Fi
The Incredible Hulk,The Hulk,2008-06-13,112,6.6,61,150000000,134806913,264770996,55414050,0,0,1,Kevin Feige,Producer,
The Incredible Hulk,The Hulk,2008-06-13,112,6.6,61,150000000,134806913,264770996,55414050,0,0,1,Edward Norton ,Cast,
The Incredible Hulk,The Hulk,2008-06-13,112,6.6,61,150000000,134806913,264770996,55414050,0,0,1,Liv Tyler ,Cast,
The Incredible Hulk,The Hulk,2008-06-13,112,6.6,61,150000000,134806913,264770996,55414050,0,0,1,Tim Roth,Cast,
Iron Man 2,Iron Man,2010-05-07,124,7,57,200000000,312433331,623933331,128122480,1,0,1,Jon Favreau,Director,Action
Iron Man 2,Iron Man,2010-05-07,124,7,57,200000000,312433331,623933331,128122480,1,0,1,Kevin Feige,Producer,Adventure
Iron Man 2,Iron Man,2010-05-07,124,7,57,200000000,312433331,623933331,128122480,1,0,1,Robert Downey Jr. ,Cast,Sci-Fi
