movieId,Name,Franchise,US release Date,Duration(min),IMDB rating,metascore,Budget,Domestic Gross,Total Gross,Opening Gross,Oscar Nomination,Oscar won,Phase,name,role,Genre
1,Iron Man,Iron Man,2008-05-02,126,7.9,79,140000000,318604126,585366247,98618668,2,0,1,Jon Favreau,Director,Action
1,Iron Man,Iron Man,2008-05-03,126,7.9,79,140000000,318604126,585366247,98618668,2,0,1,Avi Arad,Producer,Adventure
1,Iron Man,Iron Man,2008-05-04,126,7.9,79,140000000,318604126,585366247,98618668,2,0,1,Kevin Feige,Producer,Sci-Fi
1,Iron Man,Iron Man,2008-05-05,126,7.9,79,140000000,318604126,585366247,98618668,2,0,1,Robert Downey Jr. ,Cast,
1,Iron Man,Iron Man,2008-05-06,126,7.9,79,140000000,318604126,585366247,98618668,2,0,1,Gweneth Paltrow ,Cast,
1,Iron Man,Iron Man,2008-05-07,126,7.9,79,140000000,318604126,585366247,98618668,2,0,1,Terrence Howard,Cast,
2,The Incredible Hulk,The Hulk,2008-06-13,112,6.6,61,150000000,134806913,264770996,55414050,0,0,1,Louis Leterrier,Director,Action
2,The Incredible Hulk,The Hulk,2008-06-14,112,6.6,61,150000000,134806913,264770996,55414050,0,0,1,Avi Arad,Producer,Adventure
2,The Incredible Hulk,The Hulk,2008-06-15,112,6.6,61,150000000,134806913,264770996,55414050,0,0,1,Gale Ann Hurd,Producer,Sci-Fi
2,The Incredible Hulk,The Hulk,2008-06-16,112,6.6,61,150000000,134806913,264770996,55414050,0,0,1,Kevin Feige,Producer,
2,The Incredible Hulk,The Hulk,2008-06-17,112,6.6,61,150000000,134806913,264770996,55414050,0,0,1,Edward Norton ,Cast,
2,The Incredible Hulk,The Hulk,2008-06-18,112,6.6,61,150000000,134806913,264770996,55414050,0,0,1,Liv Tyler ,Cast,
2,The Incredible Hulk,The Hulk,2008-06-19,112,6.6,61,150000000,134806913,264770996,55414050,0,0,1,Tim Roth,Cast,
3,Iron Man 2,Iron Man,2010-05-07,124,7,57,200000000,312433331,623933331,128122480,1,0,1,Jon Favreau,Director,Action
3,Iron Man 3,Iron Man,2010-05-08,124,7,57,200000000,312433331,623933331,128122480,1,0,1,Kevin Feige,Producer,Adventure
3,Iron Man 4,Iron Man,2010-05-09,124,7,57,200000000,312433331,623933331,128122480,1,0,1,Robert Downey Jr. ,Cast,Sci-Fi
3,Iron Man 5,Iron Man,2010-05-10,124,7,57,200000000,312433331,623933331,128122480,1,0,1,Gweneth Paltrow ,Cast,
3,Iron Man 6,Iron Man,2010-05-11,124,7,57,200000000,312433331,623933331,128122480,1,0,1,Mickey Rourke,Cast,
4,Thor,Thor,2011-05-06,115,7,57,150000000,181030624,449326618,65723338,0,0,1,Kenneth Branagh,Director,Action
4,Thor,Thor,2011-05-07,115,7,57,150000000,181030624,449326618,65723338,0,0,1,Kevin Feige,Producer,Adventure
4,Thor,Thor,2011-05-08,115,7,57,150000000,181030624,449326618,65723338,0,0,1,Chris Hemsworth ,Cast,Fantasy
4,Thor,Thor,2011-05-09,115,7,57,150000000,181030624,449326618,65723338,0,0,1,Anthony Hopkins ,Cast,
4,Thor,Thor,2011-05-10,115,7,57,150000000,181030624,449326618,65723338,0,0,1,Natalie Portman,Cast,
5,Captain America: The First Avenger,Captain America,2011-07-22,124,6.9,66,140000000,176654505,370569774,65058524,0,0,1,Joe Jhonston,Director,Action
5,Captain America: The First Avenger,Captain America,2011-07-23,124,6.9,66,140000000,176654505,370569774,65058524,0,0,1,Kevin Feige,Producer,Adventure
5,Captain America: The First Avenger,Captain America,2011-07-24,124,6.9,66,140000000,176654505,370569774,65058524,0,0,1,Chris Evans ,Cast,Sci-Fi
5,Captain America: The First Avenger,Captain America,2011-07-25,124,6.9,66,140000000,176654505,370569774,65058524,0,0,1,Hugo Weaving ,Cast,
5,Captain America: The First Avenger,Captain America,2011-07-26,124,6.9,66,140000000,176654505,370569774,65058524,0,0,1,Samuel L. Jackson,Cast,
6,Marvel's the Avengers,Avengers,2012-05-04,143,8,69,220000000,623357910,1518812988,207438708,1,0,1,Joss Whedon,Director,Action
6,Marvel's the Avengers,Avengers,2012-05-05,143,8,69,220000000,623357910,1518812988,207438708,1,0,1,Kevin Feige,Producer,Adventure
6,Marvel's the Avengers,Avengers,2012-05-06,143,8,69,220000000,623357910,1518812988,207438708,1,0,1,Robert Downey Jr. ,Cast,Sci-Fi
6,Marvel's the Avengers,Avengers,2012-05-07,143,8,69,220000000,623357910,1518812988,207438708,1,0,1,Chris Evans ,Cast,
6,Marvel's the Avengers,Avengers,2012-05-08,143,8,69,220000000,623357910,1518812988,207438708,1,0,1,Scarlett Johansson ,Cast,
